mlb_id,mlb_name,mlb_pos,mlb_team,mlb_team_long,bats,throws,birth_date,bp_id,bref_id,bref_name,cbs_id,cbs_name,cbs_pos,espn_id,espn_name,espn_pos,fg_id,fg_name,fg_pos,lahman_id,nfbc_id,nfbc_name,nfbc_pos,retro_id,retro_name,debut,yahoo_id,yahoo_name,ottoneu_id,ottoneu_name,ottoneu_pos,rotowire_id,rotowire_name,rotowire_pos
622253,Dillon Tate,P,BAL,Baltimore Orioles,R,R,1994-05-01,106989,tatedi01,Dillon Tate,2184350,Dillon Tate,RP,34950,Dillon Tate,RP,17796,Dillon Tate,P,,10221,Dillon Tate,P,,,2019-07-29,10221,Dillon Tate,18482,Dillon Tate,RP,13809,,
599096,Dilson Herrera,2B,BAL,Baltimore Orioles,R,R,1994-03-03,69012,herredi01,Dilson Herrera,2118134,Dilson Herrera,2B,33091,Dilson Herrera,2B,14335,Dilson Herrera,2B,herredi01,9800,Dilson Herrera,2B,herrd002,Dilson Herrera,2014-08-29,9800,Dilson Herrera,18396,Dilson Herrera,1B/2B/3B,13186,Dilson Herrera,2B
659275,Dinelson Lamet,P,SD,San Diego Padres,R,R,1992-07-18,105417,lametdi01,Dinelson Lamet,2507517,Dinelson Lamet,SP,36157,Dinelson Lamet,SP,17186,Dinelson Lamet,P,lametdi01,10703,Dinelson Lamet,P,lamed001,Dinelson Lamet,2017-05-25,10703,Dinelson Lamet,21952,Dinelson Lamet,SP,14202,Dinelson Lamet,P
425900,Dioner Navarro,C,TOR,Toronto Blue Jays,S,R,1984-02-09,40216,navardi01,Dioner Navarro,387245,Dioner Navarro,C,5902,Dioner Navarro,C,3179,Dioner Navarro,C,navardi01,7276,Dioner Navarro,C,navad001,Dioner Navarro,2004-09-07,7276,Dioner Navarro,7794,Dioner Navarro,C,7232,Dioner Navarro,C
553988,Dixon Machado,2B,DET,Detroit Tigers,R,R,1992-02-22,66105,machadi01,Dixon Machado,1804067,Dixon Machado,2B,31188,Dixon Machado,SS,11472,Dixon Machado,2B/SS,machadi01,9972,Dixon Machado,2B,machd001,Dixon Machado,2015-05-25,9972,Dixon Machado,9673,Dixon Machado,SS,11804,Dixon Machado,SS
597113,DJ Johnson,P,COL,Colorado Rockies,L,R,1989-08-30,68234,johnsdj01,DJ Johnson,2171859,D.J. Johnson,RP,34672,DJ Johnson,RP,12578,D.J. Johnson,P,johnsdj01,11080,DJ Johnson,P,johnd005,DJ Johnson,2018-09-09,,,14467,DJ Johnson,RP,15735,,
518934,DJ LeMahieu,2B,NYY,New York Yankees,R,R,1988-07-13,59339,lemahdj01,DJ LeMahieu,1740958,DJ LeMahieu,2B,30765,DJ LeMahieu,2B,9874,DJ LeMahieu,2B,lemahdj01,8949,DJ LeMahieu,2B,lemad001,DJ LeMahieu,2011-05-30,8949,DJ LeMahieu,4953,DJ LeMahieu,1B/2B/3B,10999,DJ LeMahieu,2B
656847,DJ Peters,CF,LAD,Los Angeles Dodgers,R,R,1995-12-12,,,,,,,,,,,,,,,,,,,2222-02-02,,,,,,,,
621466,DJ Stewart,RF,BAL,Baltimore Orioles,L,R,1993-11-30,105440,stewadj01,DJ Stewart,2184469,DJ Stewart,RF,34942,DJ Stewart,RF,17766,D.J. Stewart,OF,stewadj01,11108,DJ Stewart,LF,stewd002,DJ Stewart,2018-09-12,11108,DJ Stewart,30877,DJ Stewart,OF,13838,,
669084,DL Hall,P,BAL,Baltimore Orioles,L,L,1998-09-19,,,,,,,,,,,,,,,,,,,2222-02-02,,,,,,,,
624513,Dom Nunez,C,COL,Colorado Rockies,L,R,1995-01-17,,,,,,,,,,,,,,10650,Dom Nunez,C,,,2019-08-13,,,,,,,,
642758,Domingo Acevedo,P,NYY,New York Yankees,R,R,1994-03-06,,,,,,,,,,,,,,,,,,,2222-02-02,,,,,,,,
593334,Domingo German,P,NYY,New York Yankees,R,R,1992-08-04,67182,germado01,Domingo German,2167483,Domingo German,SP,33660,Domingo German,SP,17149,Domingo German,P,germado01,10069,Domingo German,P,germd001,Domingo German,2017-06-11,10069,Domingo Germán,13063,Domingo German,SP,13600,Domingo German,P
642736,Domingo Leyba,2B,ARI,Arizona Diamondbacks,S,R,1995-09-11,103230,leybado01,Domingo Leyba,2160767,Domingo Leyba,2B,33663,Domingo Leyba,2B,16404,Domingo Leyba,2B,,10416,Domingo Leyba,SS,,,2019-06-22,10416,Domingo Leyba,18801,Domingo Leyba,2B/SS,13265,Domingo Leyba,SS
570267,Domingo Santana,LF,CLE,Cleveland Indians,R,R,1992-08-05,60423,santado01,Domingo Santana,1958810,Domingo Santana,RF,31931,Domingo Santana,LF,10348,Domingo Santana,OF,santado01,9753,Domingo Santana,RF,santd002,Domingo Santana,2014-07-01,9753,Domingo Santana,5866,Domingo Santana,OF,11223,Domingo Santana,OF
593619,Domingo Tapia,P,BOS,Boston Red Sox,R,R,1991-08-04,,,,,,,,,,,,,,,,,,,2222-02-02,,,,,,,,
666150,Dominic Fletcher,OF,ARI,Arizona Diamondbacks,L,L,1997-09-02,,,,,,,,,,,,,,,,,,,2222-02-02,,,,,,,,
608678,Dominic Leone,P,CLE,Cleveland Indians,R,R,1991-10-26,100305,leonedo01,Dominic Leone,2117118,Dominic Leone,RP,33155,Dominic Leone,RP,13763,Dominic Leone,P,leonedo01,9666,Dominic Leone,P,leond003,Dominic Leone,2014-04-06,9666,Dominic Leone,18338,Dominic Leone,RP,13138,Dominic Leone,P
642086,Dominic Smith,1B,NYM,New York Mets,L,L,1995-06-15,102745,smithdo02,Dominic Smith,2066296,Dominic Smith,LF,33218,Dominic Smith,1B,15653,Dominic Smith,1B,smithdo02,9595,Dominic Smith,1B,smitd008,Dominic Smith,2017-08-11,9595,Dominic Smith,18300,Dominic Smith,1B/OF,12950,Dominic Smith,1B
502126,Domonic Brown,RF,PHI,Philadelphia Phillies,L,L,1987-09-03,50138,browndo01,Domonic Brown,1597678,Domonic Brown,RF,29673,Domonic Brown,RF,3154,Domonic Brown,OF,browndo01,8644,Domonic Brown,RF,browd004,Domonic Brown,2010-07-28,8644,Domonic Brown,5116,Domonic Brown,OF,10292,Domonic Brown,OF
430603,Don Kelly,1B,MIA,Miami Marlins,L,R,1980-02-15,37860,kellydo01,Don Kelly,448411,Don Kelly,LF,28730,Don Kelly,LF,2216,Don Kelly,OF,kellydo01,7998,Don Kelly,1B,kelld001,Don Kelly,2007-04-02,7998,Don Kelly,6839,Don Kelly,Util,7609,Don Kelly,1B
544371,Donald Lutz,1B,CIN,Cincinnati Reds,L,R,1989-02-06,58850,lutzdo01,Donald Lutz,1915313,Donald Lutz,LF,32084,Donald Lutz,LF,10154,Donald Lutz,OF,lutzdo01,9384,Donald Lutz,1B,lutzd001,Donald Lutz,2013-04-29,9384,Donald Lutz,11969,Donald Lutz,Util,12345,Donald Lutz,OF
543698,Donn Roach,P,OAK,Oakland Athletics,R,R,1989-12-14,65987,roachdo01,Donn Roach,1811746,Donn Roach,RP,31407,Donn Roach,RP,10620,Donn Roach,P,roachdo01,9662,Donn Roach,P,roacd001,Donn Roach,2014-04-02,9662,Donn Roach,14017,Donn Roach,SP/RP,11513,Donn Roach,P
643354,Donnie Hart,P,NYM,New York Mets,L,L,1990-09-06,103391,hartdo01,Donnie Hart,2170700,Donnie Hart,RP,35125,Donnie Hart,RP,15306,Donnie Hart,P,hartdo01,10342,Donnie Hart,P,hartd002,Donnie Hart,2016-07-17,10342,Donnie Hart,19654,Donnie Hart,RP,14459,Donnie Hart,P
548348,Donnie Joseph,P,MIA,Miami Marlins,L,L,1987-11-01,60416,josepdo01,Donnie Joseph,1797886,Donnie Joseph,RP,31030,Donnie Joseph,RP,6491,Donnie Joseph,P,josepdo01,9460,Donnie Joseph,P,josed001,Donnie Joseph,2013-07-11,9460,Donnie Joseph,6215,Donnie Joseph,RP,11045,Donnie Joseph,P
453264,Donnie Veal,P,TEX,Texas Rangers,L,L,1984-09-18,49122,vealdo01,Donnie Veal,1179745,Donnie Veal,RP,30142,Donnie Veal,RP,4741,Donnie Veal,P,vealdo01,8434,Donnie Veal,P,veald001,Donnie Veal,2009-04-07,8434,Donnie Veal,4168,Donnie Veal,RP,,,
518764,Donovan Hand,P,CIN,Cincinnati Reds,R,R,1986-04-20,57222,handdo01,Donovan Hand,1804108,Donovan Hand,RP,31185,Donovan Hand,RP,8728,Donovan Hand,P,handdo01,9407,Donovan Hand,P,handd001,Donovan Hand,2013-05-26,9407,Donovan Hand,5187,Donovan Hand,RP,10409,Donovan Hand,P
456781,Donovan Solano,SS,SF,San Francisco Giants,R,R,1987-12-17,48772,solando01,Donovan Solano,1666544,Donovan Solano,2B,29703,Donovan Solano,SS,8623,Donovan Solano,2B,solando01,9190,Donovan Solano,SS,solad001,Donovan Solano,2012-05-21,9190,Dónovan Solano,2885,Donovan Solano,2B/SS/3B,11367,Donovan Solano,2B
622268,Donovan Walton,2B,SEA,Seattle Mariners,L,R,1994-05-25,109101,waltodo01,Donovan Walton,2756827,Donnie Walton,SS,37232,Donnie Walton,3B,19314,Donnie Walton,2B/SS,,11658,Donnie Walton,SS,,,2019-09-10,,,31046,Donnie Walton,SS,15553,,
448674,Doug Bernier,SS,MIN,Minnesota Twins,R,R,1980-06-24,32724,bernido01,Doug Bernier,393544,Doug Bernier,3B,29159,Doug Bernier,3B,4518,Doug Bernier,SS,bernido01,8274,Doug Bernier,3B,bernd001,Doug Bernier,2008-06-17,8274,Doug Bernier,18050,Doug Bernier,Util,9153,Doug Bernier,2B
450729,Doug Fister,P,TEX,Texas Rangers,L,R,1984-02-04,52353,fistedo01,Doug Fister,1699360,Doug Fister,SP,30370,Doug Fister,SP,9425,Doug Fister,P,fistedo01,8554,Doug Fister,P,fistd001,Doug Fister,2009-08-08,8554,Doug Fister,1554,Doug Fister,RP,11185,Doug Fister,P
596720,Dovydas Neverauskas,P,PIT,Pittsburgh Pirates,R,R,1993-01-14,68132,neverdo01,Dovydas Neverauskas,2228429,Dovydas Neverauskas,RP,35804,Dovydas Neverauskas,RP,11604,Dovydas Neverauskas,P,neverdo01,10684,Dovydas Neverauskas,P,neved001,Dovydas Neverauskas,2017-04-24,10684,Dovydas Neverauskas,14067,Dovydas Neverauskas,RP,14588,Dovydas Neverauskas,P
518493,Drake Britton,P,CHC,Chicago Cubs,L,L,1989-05-22,58100,brittdr01,Drake Britton,1804447,Drake Britton,RP,31257,Drake Britton,RP,2868,Drake Britton,P,brittdr01,9463,Drake Britton,P,britd001,Drake Britton,2013-07-20,9463,Drake Britton,5730,Drake Britton,RP,11349,Drake Britton,P
623454,Drew Anderson,P,CWS,Chicago White Sox,R,R,1994-03-22,55895,anderdr02,Drew Anderson,2443746,Drew Anderson,RP,41125,Drew Anderson,RP,15130,Drew Anderson,P,anderdr02,10779,Drew Anderson,P,anded003,Drew Anderson,2017-08-01,10779,Drew Anderson,30833,Drew Anderson,SP/RP,14602,Drew Anderson,P
460077,Drew Butera,C,COL,Colorado Rockies,R,R,1983-08-09,47155,buterdr01,Drew Butera,593268,Drew Butera,C,29436,Drew Butera,C,3411,Drew Butera,C,buterdr01,8696,Drew Butera,C,buted001,Drew Butera,2010-04-09,8696,Drew Butera,2248,Drew Butera,C,8663,Drew Butera,C
502165,Drew Carpenter,P,TOR,Toronto Blue Jays,R,R,1985-05-18,50164,carpean01,Drew Carpenter,1638973,Andrew J. Carpenter,RP,29221,Drew Carpenter,SP,9533,Andrew Carpenter,P,carpean01,8335,Drew Carpenter,P,carpa001,Andrew Carpenter,2008-08-27,8335,Drew Carpenter,18008,Andrew Carpenter,RP,,,
664916,Drew Ferguson,OF,HOU,Houston Astros,R,R,1992-08-03,,,,,,,,,,,,,,,,,,,2222-02-02,,,,,,,,
543193,Drew Gagnon,P,NYM,New York Mets,R,R,1990-06-26,70303,gagnodr01,Drew Gagnon,2119041,Drew Gagnon,RP,36095,Drew Gagnon,RP,12545,Drew Gagnon,P,gagnodr01,11065,Drew Gagnon,P,gagnd001,Drew Gagnon,2018-07-10,11065,Drew Gagnon,27272,Drew Gagnon,SP/RP,12227,Drew Gagnon,P
502457,Drew Hayes,P,CIN,Cincinnati Reds,R,R,1987-09-03,65827,hayesdr01,Drew Hayes,1963324,Drew Hayes,RP,32492,Drew Hayes,RP,10528,Drew Hayes,P,hayesdr01,10271,Drew Hayes,P,hayed001,Drew Hayes,2016-04-21,10271,Drew Hayes,14481,Drew Hayes,RP,13260,Drew Hayes,P
571800,Drew Hutchison,P,MIN,Minnesota Twins,L,R,1990-08-22,66556,hutchdr01,Drew Hutchison,1812898,Drew Hutchison,SP,31462,Drew Hutchison,SP,10732,Drew Hutchison,P,hutchdr01,9158,Drew Hutchison,P,hutcd001,Drew Hutchison,2012-04-21,9158,Drew Hutchison,17790,Drew Hutchison,SP/RP,11821,Drew Hutchison,P
623515,Drew Jackson,SS,BAL,Baltimore Orioles,R,R,1993-07-28,106191,jacksdr01,Drew Jackson,2211773,Drew Jackson,SS,35034,Drew Jackson,SS,17807,Drew Jackson,OF,,10586,Drew Jackson,SS,,,2019-03-28,10586,Drew Jackson,23595,Drew Jackson,2B/SS,14031,,
543482,Drew Maggi,3B,MIN,Minnesota Twins,R,R,1989-05-16,,,,,,,,,,,,,,,,,,,2222-02-02,,,,,,,,
519141,Drew Pomeranz,P,SD,San Diego Padres,R,L,1988-11-22,68404,pomerdr01,Drew Pomeranz,1765810,Drew Pomeranz,RP,31010,Drew Pomeranz,SP,11426,Drew Pomeranz,P,pomerdr01,9068,Drew Pomeranz,P,pomed001,Drew Pomeranz,2011-09-11,9068,Drew Pomeranz,18095,Drew Pomeranz,SP/RP,11436,Drew Pomeranz,P
656876,Drew Rasmussen,P,MIL,Milwaukee Brewers,R,R,1995-07-27,,,,2837374,Drew Rasmussen,RP,42584,Drew Rasmussen,RP,,,,,,,,,,2222-02-02,,,,,,,,
592685,Drew Robinson,CF,STL,St. Louis Cardinals,L,R,1992-04-20,67094,robindr01,Drew Robinson,2046497,Drew Robinson,CF,31938,Drew Robinson,LF,11761,Drew Robinson,OF,robindr01,10658,Drew Robinson,CF,robid003,Drew Robinson,2017-04-05,10658,Drew Robinson,14383,Drew Robinson,OF,11654,Drew Robinson,OF
607968,Drew Rucinski,P,MIA,Miami Marlins,R,R,1988-12-30,70168,rucindr01,Drew Rucinski,2136146,Drew Rucinski,RP,33619,Drew Rucinski,RP,12499,Drew Rucinski,P,rucindr01,9763,Drew Rucinski,P,rucid001,Drew Rucinski,2014-07-10,9763,Drew Rucinski,18437,Drew Rucinski,RP,13575,Drew Rucinski,P
622098,Drew Smith,P,NYM,New York Mets,R,R,1993-09-24,106928,smithdr01,Drew Smith,2453269,Drew Smith,RP,39685,Drew Smith,RP,17755,Drew Smith,P,smithdr01,11050,Drew Smith,P,smitd009,Drew Smith,2018-06-23,11050,Drew Smith,22713,Drew Smith,RP,15548,Evan Phillips,P
592767,Drew Smyly,P,SF,San Francisco Giants,L,L,1989-06-13,68688,smylydr01,Drew Smyly,1840445,Drew Smyly,SP,31816,Drew Smyly,SP,11760,Drew Smyly,P,smylydr01,9140,Drew Smyly,P,smyld001,Drew Smyly,2012-04-12,9140,Drew Smyly,18146,Drew Smyly,SP,11506,Drew Smyly,P
608716,Drew Steckenrider,P,MIA,Miami Marlins,R,R,1991-01-10,100322,steckdr01,Drew Steckenrider,2228473,Drew Steckenrider,RP,35867,Drew Steckenrider,RP,18806,Drew Steckenrider,P,steckdr01,10706,Drew Steckenrider,P,stecd001,Drew Steckenrider,2017-05-24,10706,Drew Steckenrider,23836,Drew Steckenrider,RP,14599,Drew Steckenrider,P
519322,Drew Storen,P,CIN,Cincinnati Reds,S,R,1987-08-11,59345,storedr01,Drew Storen,1724102,Drew Storen,RP,30534,Drew Storen,SP,6983,Drew Storen,P,storedr01,8618,Drew Storen,P,stord001,Drew Storen,2010-05-17,8618,Drew Storen,5226,Drew Storen,RP,10963,Drew Storen,P
453211,Drew Stubbs,OF,SF,San Francisco Giants,R,R,1984-10-04,51938,stubbdr01,Drew Stubbs,1114754,Drew Stubbs,LF,29611,Drew Stubbs,LF,9328,Drew Stubbs,OF,stubbdr01,8528,Drew Stubbs,CF,stubd001,Drew Stubbs,2009-08-19,8528,Drew Stubbs,2996,Drew Stubbs,Util,9280,Drew Stubbs,OF
572403,Drew VerHagen,P,DET,Detroit Tigers,R,R,1990-10-22,100188,verhadr01,Drew VerHagen,2113508,Drew VerHagen,RP,33121,Drew VerHagen,SP,13424,Drew VerHagen,P,verhadr01,9767,Drew VerHagen,P,verhd001,Drew VerHagen,2014-07-19,9767,Drew VerHagen,28076,Drew VerHagen,SP/RP,13578,Drew VerHagen,P
671221,Drew Waters,CF,ATL,Atlanta Braves,S,R,1998-12-30,,,,,,,,,,,,,,,,,,,2222-02-02,,,,,,,,
502102,Duane Below,P,MIA,Miami Marlins,L,L,1985-11-15,50127,belowdu01,Duane Below,1784663,Duane Below,RP,31132,Duane Below,RP,3124,Duane Below,P,belowdu01,8993,Duane Below,P,belod001,Duane Below,2011-07-20,8993,Duane Below,2975,Duane Below,RP,9711,Duane Below,P
621249,Duane Underwood Jr.,P,CHC,Chicago Cubs,R,R,1994-07-20,100576,underdu01,Duane Underwood Jr.,2044487,Duane Underwood,RP,32830,Duane Underwood Jr.,SP,14677,Duane Underwood Jr.,P,underdu01,10165,Duane Underwood Jr.,P,unded001,Duane Underwood,2018-06-25,,,23636,Duane Underwood Jr.,SP/RP,12520,,
444992,Duke Welker,P,PIT,Pittsburgh Pirates,L,R,1986-02-10,55418,welkedu01,Duke Welker,1915131,Duke Welker,RP,32652,Duke Welker,RP,792,Duke Welker,,welkedu01,9390,Duke Welker,P,welkd001,Duke Welker,2013-06-23,9390,Duke Welker,6782,Duke Welker,RP,,,
554429,Dustin Ackley,2B,SEA,Seattle Mariners,L,R,1988-02-26,61057,ackledu01,Dustin Ackley,1699742,Dustin Ackley,1B,30372,Dustin Ackley,1B,10099,Dustin Ackley,2B/OF,ackledu01,8648,Dustin Ackley,LF,ackld001,Dustin Ackley,2011-06-17,8648,Dustin Ackley,5141,Dustin Ackley,Util,10944,Dustin Ackley,1B
542884,Dustin Antolin,P,TOR,Toronto Blue Jays,R,R,1989-08-09,58022,antoldu01,Dustin Antolin,1963302,Dustin Antolin,RP,32503,Dustin Antolin,RP,7119,Dustin Antolin,P,antoldu01,10295,Dustin Antolin,P,antod001,Dustin Antolin,2016-05-16,10295,Dustin Antolin,6019,Dustin Antolin,RP,14219,Dustin Antolin,P
641583,Dustin Fowler,CF,OAK,Oakland Athletics,L,L,1994-12-29,102586,fowledu01,Dustin Fowler,2218320,Dustin Fowler,CF,34693,Dustin Fowler,CF,17098,Dustin Fowler,OF,fowledu01,10753,Dustin Fowler,CF,fowld002,Dustin Fowler,2017-06-29,10753,Dustin Fowler,19538,Dustin Fowler,OF,14076,Dustin Fowler,OF
572863,Dustin Garneau,C,HOU,Houston Astros,R,R,1987-08-13,60238,garnedu01,Dustin Garneau,2117267,Dustin Garneau,C,33257,Dustin Garneau,C,9433,Dustin Garneau,C,garnedu01,10051,Dustin Garneau,C,garnd001,Dustin Garneau,2015-08-20,10051,Dustin Garneau,11636,Dustin Garneau,C,13327,Dustin Garneau,C
669160,Dustin May,P,LAD,Los Angeles Dodgers,R,R,1997-09-06,108971,maydu01,Dustin May,2507335,Dustin May,SP,40937,Dustin May,SP,19716,Dustin May,P,,10898,Dustin May,P,,,2019-08-02,,,32611,Dustin May,SP/RP,14331,,
451783,Dustin Molleken,P,DET,Detroit Tigers,L,R,1984-08-21,46387,molledu01,Dustin Molleken,1941516,Dustin Molleken,RP,32069,Dustin Molleken,RP,6200,Dustin Molleken,P,molledu01,10319,Dustin Molleken,P,molld001,Dustin Molleken,2016-07-04,10319,Dustin Molleken,5051,Dustin Molleken,RP,7677,Dustin Molleken,P
456030,Dustin Pedroia,2B,BOS,Boston Red Sox,R,R,1983-08-17,45464,pedrodu01,Dustin Pedroia,547429,Dustin Pedroia,2B,6393,Dustin Pedroia,2B,8370,Dustin Pedroia,2B,pedrodu01,7631,Dustin Pedroia,2B,pedrd001,Dustin Pedroia,2006-08-22,7631,Dustin Pedroia,14855,Dustin Pedroia,Util,8278,Dustin Pedroia,2B
640460,Dustin Peterson,RF,DET,Detroit Tigers,R,R,1994-09-10,102435,peterdu01,Dustin Peterson,2066816,Dustin Peterson,LF,33292,Dustin Peterson,RF,15189,Dustin Peterson,PH/PR,peterdu01,11026,Dustin Peterson,LF,peted002,Dustin Peterson,2018-05-28,11026,Dustin Peterson,19265,Dustin Peterson,1B/OF,13008,Dustin Peterson,OF
450580,Dustin Richardson,P,ATL,Atlanta Braves,L,L,1984-01-09,,,,,,,,,,,,,,,,,,,2009-09-28,,,,,,,,
